,age,workclass,education,education-num,marital-status,occupation,relationship,race,capital-gain,capital-loss,hours-per-week,native-country,income >50K
0,39,5,9,13,4,0,1,4,2174,0,40,38,0
1,50,4,9,13,2,3,0,4,0,0,13,38,0
2,38,2,11,9,0,5,1,4,0,0,40,38,0
3,53,2,1,7,2,5,0,2,0,0,40,38,0
7,52,4,11,9,2,3,0,4,0,0,45,38,1
9,42,2,9,13,2,3,0,4,5178,0,40,38,1
10,37,2,15,10,2,3,0,2,0,0,80,38,1
11,30,5,9,13,2,9,0,1,0,0,40,18,1
13,32,2,7,12,4,11,1,2,0,0,50,38,0
15,34,2,5,4,2,13,0,0,0,0,45,25,0
16,25,4,11,9,4,4,3,4,0,0,35,38,0
17,32,2,11,9,4,6,4,4,0,0,40,38,0
18,38,2,1,7,2,11,0,4,0,0,50,38,0
20,40,2,10,16,2,9,0,4,0,0,60,38,1
22,35,0,6,5,2,4,0,2,0,0,40,38,0
23,43,2,1,7,2,13,0,4,0,2042,40,38,0
25,56,1,9,13,2,12,0,4,0,0,40,38,1
26,19,2,11,9,4,2,3,4,0,0,40,38,0
28,39,2,11,9,0,3,1,4,0,0,80,38,0
29,49,2,11,9,2,2,0,4,0,0,40,38,0
30,23,1,7,12,4,10,1,4,0,0,52,38,0
31,20,2,15,10,4,11,3,2,0,0,44,38,0
32,45,2,9,13,0,3,3,4,0,1408,40,38,0
33,30,0,15,10,2,0,3,4,0,0,40,38,0
34,22,5,15,10,2,7,0,2,0,0,15,38,0
35,48,2,1,7,4,6,4,4,0,0,40,32,0
36,21,2,15,10,4,6,3,4,0,0,40,38,0
39,48,4,7,12,2,9,0,4,0,0,40,38,0
40,31,2,6,5,2,6,0,4,0,0,43,38,0
41,53,4,9,13,2,9,0,4,0,0,40,38,0
42,24,2,9,13,2,12,0,4,0,0,50,38,0
44,25,2,11,9,4,5,1,4,0,0,35,38,0
45,57,0,9,13,2,9,0,2,0,0,40,38,1
46,53,2,11,9,2,6,0,4,0,0,38,38,0
48,41,5,8,11,2,2,0,4,0,0,40,38,0
49,29,2,8,11,4,9,1,4,0,0,43,38,0
53,50,0,9,13,0,3,1,4,0,0,55,38,1
54,47,3,11,9,0,3,1,4,0,0,60,38,0
55,43,2,15,10,2,12,0,4,0,0,40,38,1
56,46,2,4,3,2,6,0,4,0,0,40,25,0
57,35,2,8,11,2,7,0,4,0,0,40,32,0
58,41,2,11,9,2,0,0,4,0,0,48,38,0
59,30,2,11,9,2,6,0,4,5013,0,40,38,0
60,30,2,9,13,2,11,0,4,2407,0,40,38,0
62,48,2,11,9,2,13,0,4,0,0,40,38,0
63,42,2,10,16,2,9,0,4,0,0,45,38,1
64,29,2,15,10,0,12,1,4,0,0,58,38,0
65,36,2,11,9,2,2,0,4,0,0,40,38,0
68,49,3,15,10,2,3,0,4,0,0,50,38,1
70,19,2,15,10,4,9,3,4,0,0,32,38,0
72,29,4,9,13,2,11,0,4,0,0,70,38,1
73,23,2,15,10,4,6,1,4,0,0,40,38,0
74,79,2,15,10,2,9,2,4,0,0,20,38,0
75,27,2,11,9,4,7,3,4,0,0,40,25,0
76,40,2,7,12,2,0,0,4,0,0,40,38,0
79,31,1,5,4,2,4,0,4,0,0,40,38,0
80,18,2,11,9,4,11,1,4,0,0,30,38,0
81,52,2,9,13,2,7,0,4,0,0,40,4,0
83,59,2,11,9,2,11,0,4,0,0,48,38,0
86,49,1,11,9,2,10,0,4,0,0,40,38,1
87,33,2,12,14,2,9,0,4,0,0,50,38,0
88,30,2,6,5,4,11,1,4,0,0,40,38,0
90,57,2,8,11,2,9,0,4,0,0,40,38,0
94,34,1,9,13,2,10,0,4,0,0,40,38,1
95,29,1,15,10,4,5,1,4,0,0,50,38,0
96,48,4,10,16,2,9,0,4,0,1902,60,38,1
97,37,2,15,10,2,11,0,4,0,0,48,38,1
99,32,0,11,9,4,7,3,2,0,0,40,38,0
100,76,2,12,14,2,3,0,4,0,0,40,38,1
101,44,2,9,13,2,3,0,4,15024,0,60,38,1
104,29,2,11,9,4,2,1,4,0,0,40,38,0
105,32,3,11,9,2,2,0,4,7688,0,40,38,1
