,age,workclass,education,education-num,marital-status,occupation,relationship,race,capital-gain,capital-loss,hours-per-week,native-country,income >50K
4,28,2,9,13,2,9,5,2,0,0,40,4,0
5,37,2,12,14,2,3,5,4,0,0,40,38,0
6,49,2,6,5,3,7,1,2,0,0,16,22,0
8,31,2,12,14,4,9,1,4,14084,0,50,38,1
12,23,2,9,13,4,0,3,4,0,0,30,38,0
19,43,4,12,14,0,3,4,4,0,0,45,38,1
21,54,2,11,9,5,7,4,2,0,0,20,38,0
24,59,2,11,9,0,12,4,4,0,0,40,38,0
37,19,2,11,9,1,0,5,4,0,0,25,38,0
43,49,2,11,9,5,0,4,4,0,0,40,38,0
47,44,2,12,14,0,3,4,4,0,0,40,38,0
50,25,2,15,10,2,3,5,3,0,0,40,38,0
52,47,2,14,15,2,9,5,4,0,1902,60,15,1
66,28,2,15,10,0,0,1,4,0,0,40,38,0
67,53,2,11,9,2,0,5,4,0,0,40,38,1
71,31,2,9,13,5,11,3,2,0,0,40,38,0
78,18,2,1,7,4,7,3,4,0,0,22,38,0
82,46,2,11,9,2,7,5,4,0,0,40,38,0
84,44,2,11,9,0,2,1,4,14344,0,40,38,1
85,53,2,11,9,0,11,3,4,0,0,35,38,0
89,43,0,10,16,4,9,1,4,0,0,50,38,1
91,37,2,15,10,0,2,4,4,0,0,40,38,0
92,28,2,15,10,0,6,4,2,0,0,25,38,0
98,48,2,7,12,0,3,4,4,0,0,40,8,0
102,47,4,12,14,4,9,1,4,0,0,50,38,0
103,20,2,15,10,4,12,3,4,0,0,40,38,0
108,31,1,11,9,4,0,1,4,0,0,40,38,0
113,28,2,15,10,2,11,5,4,4064,0,25,38,0
114,36,2,11,9,4,6,3,4,0,0,40,38,0
120,21,2,15,10,4,7,3,4,0,0,40,38,0
125,47,2,9,13,2,3,5,4,0,0,40,38,1
126,20,2,15,10,4,0,3,4,0,1719,28,38,0
130,28,2,7,12,4,11,1,4,0,0,60,38,0
131,24,2,11,9,4,7,1,4,0,1762,40,38,0
134,46,2,7,12,0,12,1,2,0,0,36,38,0
137,27,2,8,11,2,0,5,4,0,0,35,38,0
141,27,2,15,10,4,11,3,4,0,0,40,38,0
143,45,2,8,11,4,9,1,4,0,1564,40,38,1
145,31,2,11,9,4,13,4,2,0,0,30,38,0
147,36,2,11,9,6,7,4,4,0,0,24,38,0
150,47,1,15,10,0,0,4,4,0,0,38,25,0
151,34,2,11,9,4,0,1,4,0,0,40,38,0
152,33,2,9,13,4,3,2,1,0,0,40,29,0
161,25,2,11,9,4,7,4,4,0,0,40,38,0
162,44,3,12,14,0,3,4,1,0,0,40,38,0
163,28,2,11,9,4,3,1,1,0,0,40,8,0
165,36,2,15,10,0,7,4,4,0,0,40,25,0
169,66,1,8,11,6,9,1,4,0,0,20,38,0
175,27,2,11,9,3,11,4,4,0,0,25,38,0
181,43,2,15,10,0,0,1,4,0,0,40,38,0
186,41,4,9,13,0,3,1,4,0,0,40,38,0
188,31,2,12,14,2,9,5,4,0,0,50,38,0
190,38,2,15,10,0,6,1,2,0,0,28,38,0
197,40,0,12,14,4,3,1,4,14084,0,55,38,1
200,26,2,12,14,4,9,1,4,0,1876,40,38,0
203,42,1,15,10,4,9,1,4,0,1340,40,38,0
204,37,5,11,9,0,0,4,4,0,0,35,38,0
205,18,2,1,7,4,11,3,4,0,0,40,38,0
208,58,3,11,9,2,11,5,4,15024,0,35,38,1
209,17,2,1,7,4,11,3,4,0,0,12,38,0
212,35,2,15,10,4,11,1,0,0,0,40,38,0
216,50,2,7,12,0,11,1,4,0,0,40,38,0
224,53,1,13,1,4,6,1,4,0,0,35,38,0
225,18,2,11,9,4,11,3,4,0,0,40,38,0
228,75,2,8,11,6,0,1,4,0,0,20,3,0
229,65,2,11,9,0,0,1,4,0,0,40,38,0
231,41,2,11,9,0,11,4,2,0,0,38,38,0
233,33,2,15,10,0,2,2,3,0,0,40,38,0
236,40,5,15,10,4,0,1,4,0,0,38,38,0
241,41,4,11,9,2,7,5,4,0,0,20,38,0
247,32,2,11,9,4,7,1,4,0,0,34,38,0
250,41,2,14,15,2,9,5,4,0,0,40,38,1
251,42,2,9,13,2,0,5,2,0,0,40,38,0
252,59,1,0,6,6,7,4,2,0,0,30,38,0
256,20,2,11,9,4,7,3,4,0,0,40,38,0
257,32,2,11,9,5,7,1,4,0,0,30,38,0
258,45,2,8,11,6,3,1,4,0,0,45,38,0
260,36,2,9,13,0,9,3,4,0,0,40,38,0
268,33,2,9,13,4,9,1,4,0,0,45,38,0
269,33,2,11,9,2,2,5,4,0,0,40,38,1
274,30,2,11,9,0,9,3,4,0,0,40,38,0
277,35,2,15,10,4,3,1,4,0,0,40,38,0
278,25,2,15,10,4,12,3,4,0,0,40,38,0
279,24,2,15,10,2,6,5,4,7298,0,48,38,1
280,22,2,9,13,4,9,1,4,0,0,15,10,0
282,34,2,7,12,0,11,4,2,0,0,45,38,0
283,60,2,9,13,0,9,1,4,0,0,42,38,0
288,25,2,9,13,4,3,1,4,0,0,40,38,0
291,31,2,11,9,0,9,1,4,0,0,40,38,0
294,27,2,9,13,4,12,4,2,0,0,40,38,0
296,37,3,9,13,0,11,1,4,0,0,60,38,0
301,21,2,15,10,4,7,1,1,0,0,25,38,0
304,24,2,15,10,2,0,5,1,0,0,40,24,0
305,43,2,11,9,0,0,1,4,0,0,40,38,0
307,46,2,7,12,4,9,1,4,0,0,33,38,0
313,36,4,9,13,0,9,1,2,0,0,40,38,1
